                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77907,                0.69621,                 1.1402,                0.72843,                0.88965,                0.88155,                0.69578,                0.90128,                 1.0489,                 1.2218,             0.00096215,             0.00096215,             0.00096215
                     36,                0.81683,                0.81264,                 1.1674,                 0.8098,                0.96296,                0.98059,                0.80257,                0.81965,                0.80668,                 1.1724,               0.000948,               0.000948,               0.000948
                     37,                0.80941,                0.75285,                 1.1357,                 0.8991,                0.96062,                 0.9613,                0.77844,                0.79589,                0.98157,                 1.2081,             0.00093385,             0.00093385,             0.00093385
                     38,                0.81053,                0.78471,                 1.2333,                 0.9371,                0.90114,                0.96933,                0.77794,                0.78424,                0.92848,                 1.2109,              0.0009197,              0.0009197,              0.0009197
                     39,                0.76472,                0.72147,                 1.1603,                0.91353,                0.92284,                0.98467,                0.76933,                0.82487,                0.92547,                 1.1634,             0.00090556,             0.00090556,             0.00090556
                     40,                0.68763,                0.69607,                 1.0864,                0.85167,                0.92593,                0.95661,                0.67751,                0.90562,                0.92751,                 1.2055,             0.00089141,             0.00089141,             0.00089141
                     41,                 0.7369,                0.70047,                 1.1282,                0.84282,                0.79773,                0.91497,                0.65512,                 0.9059,                0.96917,                 1.2007,             0.00087726,             0.00087726,             0.00087726
                     42,                0.68683,                0.67484,                  1.117,                0.93891,                0.93895,                0.99133,                 0.8077,                0.80689,                0.68475,                 1.1458,             0.00086312,             0.00086312,             0.00086312
                     43,                0.78997,                  0.691,                 1.1704,                0.94868,                0.91168,                0.98033,                0.83744,                0.71883,                0.65716,                  1.081,             0.00084897,             0.00084897,             0.00084897
                     44,                0.73472,                0.64706,                 1.1447,                0.89597,                0.97332,                0.98426,                0.82626,                0.66695,                0.66545,                 1.0005,             0.00083482,             0.00083482,             0.00083482
                     45,                0.74286,                0.71259,                 1.1261,                0.89147,                 0.9596,                  0.995,                0.79694,                0.66671,                 0.7012,                0.99407,             0.00082067,             0.00082067,             0.00082067
                     46,                0.77789,                0.70872,                 1.1561,                0.96022,                0.93114,                0.99133,                 0.8122,                0.71022,                 0.6464,                  1.037,             0.00080653,             0.00080653,             0.00080653
                     47,                0.65307,                0.66492,                 1.1072,                 0.9467,                0.93328,                0.99133,                0.80296,                0.79741,                0.66301,                 1.0749,             0.00079238,             0.00079238,             0.00079238
                     48,                0.74764,                 0.6896,                 1.1564,                0.88851,                      1,                  0.995,                 0.8243,                0.74487,                0.63705,                 1.0598,             0.00077823,             0.00077823,             0.00077823
                     49,                 0.7101,                0.70081,                 1.1161,                0.93249,                0.96296,                0.99133,                0.82106,                0.71367,                0.61329,                 1.0357,             0.00076409,             0.00076409,             0.00076409
                     50,                0.73542,                0.67133,                 1.1205,                0.93004,                0.96296,                0.98833,                0.82741,                0.68687,                 0.6045,                  1.029,             0.00074994,             0.00074994,             0.00074994
                     51,                0.69239,                0.63311,                 1.1127,                0.95182,                0.93876,                  0.995,                0.84296,                0.65961,                0.59595,                 1.0268,             0.00073579,             0.00073579,             0.00073579
                     52,                0.68291,                0.59937,                 1.1088,                0.91903,                      1,                  0.995,                0.86726,                0.64339,                0.53595,                  1.027,             0.00072164,             0.00072164,             0.00072164
                     53,                0.69099,                0.65422,                 1.0999,                0.92006,                0.97242,                  0.984,                0.85352,                0.62449,                 0.5391,                 1.0086,              0.0007075,              0.0007075,              0.0007075
                     54,                0.75462,                0.63781,                 1.1185,                0.89894,                  0.966,                0.99133,                0.87687,                0.59189,                0.56691,                0.98915,             0.00069335,             0.00069335,             0.00069335
                     55,                0.74854,                0.66195,                 1.1216,                0.90265,                0.95256,                  0.995,                0.88449,                0.56809,                 0.5825,                0.96145,              0.0006792,              0.0006792,              0.0006792
                     56,                0.64764,                0.56479,                 1.0964,                0.90856,                0.98238,                0.97833,                0.85272,                0.57657,                0.52983,                0.97016,             0.00066506,             0.00066506,             0.00066506
                     57,                0.66143,                0.56831,                 1.1002,                0.97339,                0.98892,                  0.995,                 0.8739,                0.58787,                0.47494,                0.98734,             0.00065091,             0.00065091,             0.00065091
                     58,                0.65512,                0.66795,                 1.0956,                0.95882,                      1,                  0.995,                0.86819,                0.57989,                0.43084,                0.98612,             0.00063676,             0.00063676,             0.00063676
                     59,                0.70838,                0.61767,                 1.1234,                0.98444,                      1,                  0.995,                0.85943,                0.60673,                0.44614,                0.99877,             0.00062262,             0.00062262,             0.00062262
                     60,                0.70046,                0.58781,                  1.103,                0.98145,                      1,                  0.995,                0.86109,                0.61786,                0.44811,                 1.0038,             0.00060847,             0.00060847,             0.00060847
                     61,                0.64092,                0.58582,                 1.0578,                0.97995,                      1,                  0.995,                0.86719,                0.57146,                0.45183,                0.97034,             0.00059432,             0.00059432,             0.00059432
                     62,                0.65164,                0.59892,                 1.0757,                0.98241,                      1,                  0.995,                0.88272,                0.55411,                0.41799,                0.94871,             0.00058017,             0.00058017,             0.00058017
                     63,                0.63609,                0.56799,                 1.0873,                0.98931,                      1,                  0.995,                0.87551,                0.52925,                0.39073,                0.93923,             0.00056603,             0.00056603,             0.00056603
                     64,                0.61289,                0.58467,                 1.0492,                0.99243,                      1,                  0.995,                0.91369,                0.51819,                0.39286,                0.93458,             0.00055188,             0.00055188,             0.00055188
                     65,                0.58794,                0.54087,                 1.0595,                0.99012,                      1,                  0.995,                0.90327,                0.51269,                0.39697,                0.93322,             0.00053773,             0.00053773,             0.00053773
                     66,                0.64516,                0.53961,                 1.0551,                0.98746,                      1,                  0.995,                0.91847,                0.49458,                0.39189,                 0.9178,             0.00052359,             0.00052359,             0.00052359
                     67,                0.59289,                0.56514,                 1.0228,                 0.9865,                      1,                  0.995,                0.90116,                0.49869,                0.39976,                0.91996,             0.00050944,             0.00050944,             0.00050944
                     68,                0.57258,                0.52722,                  1.049,                0.98465,                 0.9961,                  0.995,                0.88925,                0.49765,                0.38925,                0.92405,             0.00049529,             0.00049529,             0.00049529
                     69,                 0.6017,                0.56008,                 1.0694,                0.98487,                      1,                  0.995,                 0.9107,                 0.4865,                0.37659,                 0.9157,             0.00048114,             0.00048114,             0.00048114
                     70,                 0.6336,                0.53801,                 1.0331,                0.98906,                      1,                  0.995,                 0.8995,                0.47582,                 0.3744,                0.90628,               0.000467,               0.000467,               0.000467
                     71,                 0.5447,                0.49447,                0.99196,                0.98279,                      1,                  0.995,                0.89178,                0.47147,                 0.3819,                 0.9012,             0.00045285,             0.00045285,             0.00045285
                     72,                0.58044,                0.52986,                 1.0329,                0.98612,                      1,                  0.995,                0.88683,                0.48461,                 0.3829,                0.89882,              0.0004387,              0.0004387,              0.0004387
                     73,                0.59706,                0.52172,                 1.0345,                0.98859,                0.99877,                  0.995,                0.91145,                0.47159,                0.36341,                0.88427,             0.00042456,             0.00042456,             0.00042456
